map,seed,condition,method,loop_id,loop_vertex,selection_order,selection_timestamp,planned_source,planned,executed,execution_finished,target_attributable,temporally_associated,execution_policy,active_loop_distance_m,active_loop_time_s,actual_generated_repair_length_m,actual_executed_repair_length_m,early_stopped,avoided_nominal_repair_path_length_lower_bound_m,run_dir
map8,21005,C,Selective,1,20,1,0.0,LOOP_INSERTED event,True,True,True,False,True,SELECTIVE_REPAIR,8.9273712708103,12.299999999999955,12.05,8.9273712708103,True,12.045833615050203,results/phase4c/formal/map8/seed_21005/C_selective/attempt_01
map8,21005,C,Selective,2,38,2,0.0,LOOP_INSERTED event,True,True,True,True,False,SELECTIVE_REPAIR,25.301504616111234,34.299999999999955,12.03,25.301504616111234,True,12.03457186326659,results/phase4c/formal/map8/seed_21005/C_selective/attempt_01
map8,21005,C,Selective,3,35,3,0.0,LOOP_INSERTED event,True,True,True,False,False,NO_REPAIR,28.559698563558097,73.09999999999991,,0.0,False,,results/phase4c/formal/map8/seed_21005/C_selective/attempt_01
radish_mexico,21001,A,Original,1,59,1,8.4,LOOP_INSERTED event; execution never started,True,False,False,False,False,NOT_REACHED,,,,,False,,results/phase4c/formal/radish_mexico/seed_21001/A_original/attempt_01
radish_mexico,21001,A,Original,2,41,2,8.4,LOOP_INSERTED event; execution never started,True,False,False,False,False,NOT_REACHED,,,,,False,,results/phase4c/formal/radish_mexico/seed_21001/A_original/attempt_01
radish_mexico,21001,A,Original,3,82,3,8.4,LOOP_INSERTED event; execution never started,True,False,False,False,False,NOT_REACHED,,,,,False,,results/phase4c/formal/radish_mexico/seed_21001/A_original/attempt_01
radish_mexico,21001,A,Original,4,69,4,8.4,LOOP_INSERTED event; execution never started,True,False,False,False,False,NOT_REACHED,,,,,False,,results/phase4c/formal/radish_mexico/seed_21001/A_original/attempt_01
radish_mexico,21001,A,Original,5,58,5,8.4,LOOP_INSERTED event; execution never started,True,False,False,False,False,NOT_REACHED,,,,,False,,results/phase4c/formal/radish_mexico/seed_21001/A_original/attempt_01
radish_mexico,21001,A,Original,6,166,6,8.4,LOOP_INSERTED event; execution never started,True,False,False,False,False,NOT_REACHED,,,,,False,,results/phase4c/formal/radish_mexico/seed_21001/A_original/attempt_01
radish_mexico,21001,A,Original,7,87,7,8.4,LOOP_INSERTED event; execution never started,True,False,False,False,False,NOT_REACHED,,,,,False,,results/phase4c/formal/radish_mexico/seed_21001/A_original/attempt_01
radish_mexico,21001,A,Original,8,106,8,8.4,LOOP_INSERTED event; execution never started,True,False,False,False,False,NOT_REACHED,,,,,False,,results/phase4c/formal/radish_mexico/seed_21001/A_original/attempt_01
radish_mexico,21001,A,Original,9,100,9,8.4,LOOP_INSERTED event; execution never started,True,False,False,False,False,NOT_REACHED,,,,,False,,results/phase4c/formal/radish_mexico/seed_21001/A_original/attempt_01
radish_mexico,21001,A,Original,10,64,10,8.4,LOOP_INSERTED event; execution never started,True,False,False,False,False,NOT_REACHED,,,,,False,,results/phase4c/formal/radish_mexico/seed_21001/A_original/attempt_01
