map,seed,condition,method,loop_id,loop_vertex,local_boundary_f1,local_boundary_status,local_symmetric_boundary_distance_mean_m,local_distance_status,local_observed_coverage
radish_mexico,21002,B,Always-Trace,10,64,0.09091729052042934,AVAILABLE,1.5379473539334727,AVAILABLE,0.8160282739516668
radish_mexico,21002,B,Always-Trace,11,65,0.20843379551401298,AVAILABLE,0.9097837373082056,AVAILABLE,0.6168762935838242
radish_mexico,21002,C,Selective,1,59,0.032367080774905986,AVAILABLE,1.1654124587678893,AVAILABLE,0.7661837287056201
radish_mexico,21002,C,Selective,2,41,0.0,AVAILABLE,2.1793707744040285,AVAILABLE,0.9526478361939942
radish_mexico,21002,C,Selective,3,82,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
radish_mexico,21002,C,Selective,4,69,0.0,AVAILABLE,1.5135382350066067,AVAILABLE,0.8276498869678734
radish_mexico,21002,C,Selective,5,58,0.0,AVAILABLE,1.799817500229623,AVAILABLE,0.40082789364750837
radish_mexico,21002,C,Selective,6,166,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,0.0
radish_mexico,21002,C,Selective,7,87,0.0,AVAILABLE,1.7848653666404775,AVAILABLE,0.46859180489668567
radish_mexico,21002,C,Selective,8,106,0.07423880959120131,AVAILABLE,1.5785908974157692,AVAILABLE,0.915971470419665
radish_mexico,21002,C,Selective,9,100,0.10070943096690976,AVAILABLE,1.2237678794386362,AVAILABLE,0.8245558173597402
radish_mexico,21002,C,Selective,10,64,0.09983201343892488,AVAILABLE,1.4829254204154085,AVAILABLE,0.8036425000796001
radish_mexico,21002,C,Selective,11,65,0.04482061814688442,AVAILABLE,1.4851251748303007,AVAILABLE,0.20566788727909568
radish_mexico,21003,A,Original,1,59,0.18559231956111777,AVAILABLE,0.8570901275381264,AVAILABLE,0.9362840312052221
radish_mexico,21003,A,Original,2,41,0.0,AVAILABLE,2.237517673081012,AVAILABLE,0.9567875680667453
