map,seed,condition,method,loop_id,loop_vertex,target_attributable,active_loop_distance_m,active_loop_time_s,local_boundary_f1,local_symmetric_boundary_distance_mean_m,local_observed_coverage
radish_mexico,21002,B,Always-Trace,10,64,False,,,0.09091729052042934,1.5379473539334727,0.8160282739516668
radish_mexico,21002,C,Selective,10,64,False,,,0.09983201343892488,1.4829254204154085,0.8036425000796001
radish_mexico,21002,A,Original,11,65,False,,,0.25266637527833896,0.8108616445593106,0.7596242636522846
radish_mexico,21002,B,Always-Trace,11,65,False,,,0.20843379551401298,0.9097837373082056,0.6168762935838242
radish_mexico,21002,C,Selective,11,65,False,,,0.04482061814688442,1.4851251748303007,0.20566788727909568
radish_mexico,21002,A,Original,4,69,False,,,0.0,1.4442313597773655,0.9760881332187092
radish_mexico,21002,B,Always-Trace,4,69,False,,,0.0,1.4710485125987989,0.9788263762855415
radish_mexico,21002,C,Selective,4,69,False,,,0.0,1.5135382350066067,0.8276498869678734
radish_mexico,21002,A,Original,3,82,False,,,0.0,,1.0
radish_mexico,21002,B,Always-Trace,3,82,False,,,0.0,,1.0
radish_mexico,21002,C,Selective,3,82,False,,,0.0,,1.0
radish_mexico,21002,A,Original,7,87,False,,,0.0008960573476702509,1.499467036028463,0.9784456684389825
radish_mexico,21002,B,Always-Trace,7,87,False,,,0.0008514261387824606,1.552047365070035,0.9745932694450635
radish_mexico,21002,C,Selective,7,87,False,,,0.0,1.7848653666404775,0.46859180489668567
radish_mexico,21002,A,Original,9,100,False,,,0.07814411644759545,1.202700539900435,0.9047952620518372
radish_mexico,21002,B,Always-Trace,9,100,False,,,0.06765189765700345,1.3026688333650536,0.8443291090874355
radish_mexico,21002,C,Selective,9,100,False,,,0.10070943096690976,1.2237678794386362,0.8245558173597402
radish_mexico,21002,A,Original,8,106,False,,,0.08526764566556135,1.6632660142817177,0.996306438260205
radish_mexico,21002,B,Always-Trace,8,106,False,,,0.10546924195413486,1.485857359540523,0.9488632745335286
radish_mexico,21002,C,Selective,8,106,False,,,0.07423880959120131,1.5785908974157692,0.915971470419665
radish_mexico,21002,A,Original,6,166,False,,,0.0,1.4456295007858362,0.9871362160096797
radish_mexico,21002,B,Always-Trace,6,166,False,,,0.0,1.401603504889528,0.9755460739985989
radish_mexico,21002,C,Selective,6,166,False,,,0.0,,0.0
radish_mexico,21003,A,Original,2,41,False,,,0.0,2.237517673081012,0.9567875680667453
radish_mexico,21003,B,Always-Trace,2,41,False,,,0.0,2.0902586566709993,0.9558322453268796
radish_mexico,21003,C,Selective,2,41,False,,,0.0,2.219456681950323,0.9575518262586377
radish_mexico,21003,A,Original,5,58,False,,,0.0,1.8139882701217687,0.9741124024836809
radish_mexico,21003,B,Always-Trace,5,58,False,,,0.05276766902892166,1.7090732332304341,0.9877089635408375
radish_mexico,21003,C,Selective,5,58,False,,,0.0,1.800768164048224,0.9745581913708008
radish_mexico,21003,A,Original,1,59,False,,,0.18559231956111777,0.8570901275381264,0.9362840312052221
radish_mexico,21003,B,Always-Trace,1,59,False,,,0.12405897114178169,1.1010308067096863,0.9676484636204427
radish_mexico,21003,C,Selective,1,59,False,,,0.1691852241194067,0.9116708833950451,0.9372392931061932
radish_mexico,21003,A,Original,10,64,False,,,0.10149704418832134,1.541922407963546,0.8306428503199924
radish_mexico,21003,B,Always-Trace,10,64,False,,,0.1018478954361607,1.6578335574316316,0.8375839780940555
radish_mexico,21003,C,Selective,10,64,False,,,0.09126076521248058,1.5297553065900478,0.8142452319546598
radish_mexico,21003,A,Original,11,65,False,,,0.24742637878217685,0.759464654908846,0.6326381149498488
radish_mexico,21003,B,Always-Trace,11,65,False,,,0.3315433640627613,0.6299319883142636,0.559910842222576
radish_mexico,21003,C,Selective,11,65,False,,,0.33131819981405614,0.639096898049717,0.9041553892692247
radish_mexico,21003,A,Original,4,69,False,,,0.0,1.4571303641538063,0.98407998216958
