map,seed,condition,method,validity,run_dir,planned_active_loops,executed_active_loops,target_attributable_loops,target_realization_rate,temporally_associated_events,passive_or_unrelated_events,active_loop_distance_m,active_loop_time_s,total_exploration_distance_m,total_exploration_sim_time_s,total_exploration_wall_time_s,wall_sim_ratio,repair_count,no_repair_count,early_stop_count,actual_generated_repair_length_m,actual_executed_repair_length_m,avoided_nominal_repair_path_length_lower_bound_m,avoided_path_interpretation,ape_rmse_m,rpe_translation_rmse_m,rpe_rotation_rmse_deg,boundary_f1,symmetric_boundary_distance_mean_m,symmetric_boundary_distance_median_m,symmetric_boundary_distance_p95_m,occupied_iou,local_boundary_f1_mean,local_symmetric_boundary_distance_mean_m,local_observed_coverage_mean
radish_mexico,21001,A,Original,EXPERIMENTAL_FAILURE,results/phase4c/formal/radish_mexico/seed_21001/A_original/attempt_01,11,0,0,,0,16,0,0,2656.8844180792685,5750.8,5751.180899260999,1.000066234134555,0,0,0,0,0,0,geometric lower bound; not observed counterfactual travel,23.733064,0.14037,9.086027,0.16301956081071195,1.4930006488995828,1.1332431709886202,4.449133104696125,0.03161533580810549,0.07098731256940033,1.4586419837478413,0.9381639795879554
radish_mexico,21001,B,Always-Trace,EXPERIMENTAL_FAILURE,results/phase4c/formal/radish_mexico/seed_21001/B_always_trace/attempt_01,11,0,0,,0,4,0,0,1282.9842392766925,3450.5,3450.7422015459997,1.0000701931737428,0,0,0,0,0,0,geometric lower bound; not observed counterfactual travel,0.080903,0.046343,4.292764,0.1541670108165509,1.6058171483533012,1.2229242973818513,4.621575805904906,0.029666527044599763,0.062436498494624314,1.461611354657357,0.9119904916326913
radish_mexico,21001,C,Selective,EXPERIMENTAL_FAILURE,results/phase4c/formal/radish_mexico/seed_21001/C_selective/attempt_01,11,0,0,,0,15,0,0,1712.0434925524344,3508.9,3508.9924413109984,1.0000263448120488,0,0,0,0,0,0,geometric lower bound; not observed counterfactual travel,0.366718,0.022312,1.222574,0.15319005003153224,1.588626351564836,1.2431255805383254,4.60420676888959,0.029686717408738097,0.057244482367126086,1.4796157411916198,0.9114171214861063
radish_mexico,21002,A,Original,EXPERIMENTAL_FAILURE,results/phase4c/formal/radish_mexico/seed_21002/A_original/attempt_02,11,0,0,,0,4,0,0,1565.0186120578107,4887.4,4888.4231965829995,1.0002093539679584,0,0,0,0,0,0,geometric lower bound; not observed counterfactual travel,12.273094,0.055198,3.254488,0.1654051281580209,1.5165548829824904,1.1293126164151202,4.565993959926481,0.03033131674222135,0.05700891113858029,1.4531105218439115,0.9363664201340722
radish_mexico,21002,B,Always-Trace,EXPERIMENTAL_FAILURE,results/phase4c/formal/radish_mexico/seed_21002/B_always_trace/attempt_02,11,0,0,,0,7,0,0,1506.690891178992,3228.2,15520.464886464,4.807776744459451,0,0,0,0,0,0,geometric lower bound; not observed counterfactual travel,0.039981,0.021465,0.196594,0.14984867511534905,1.6338324196434364,1.24725226161743,4.6233397645232355,0.026454486919887773,0.05754821891393463,1.4591512478312503,0.9108122711324885
radish_mexico,21002,C,Selective,EXPERIMENTAL_FAILURE,results/phase4c/formal/radish_mexico/seed_21002/C_selective/attempt_01,11,0,0,,0,7,0,0,598.3234620517594,1110.2,5552.1894669680005,5.001071398818231,0,0,0,0,0,0,geometric lower bound; not observed counterfactual travel,0.061314,0.020629,0.107929,0.11507021458669056,2.874569607336443,1.7184658384730707,10.912660908312272,0.012863692563635348,0.03199708662898421,1.5792681896831935,0.6514308023227074
radish_mexico,21003,A,Original,EXPERIMENTAL_FAILURE,results/phase4c/formal/radish_mexico/seed_21003/A_original/attempt_01,11,0,0,,0,12,0,0,1895.0021905251888,3936.1,3936.2593456289997,1.0000404831251746,0,0,0,0,0,0,geometric lower bound; not observed counterfactual travel,0.055263,0.036922,0.601794,0.15767251245924918,1.5527524019124734,1.1790608452193634,4.445891889279216,0.02800882948456507,0.06895195782020337,1.415548876997417,0.9172759487949215
radish_mexico,21003,B,Always-Trace,EXPERIMENTAL_FAILURE,results/phase4c/formal/radish_mexico/seed_21003/B_always_trace/attempt_01,11,0,0,,0,16,0,0,1946.6545532344617,4212.2,4212.849256624999,1.0001541371789087,0,0,0,0,0,0,geometric lower bound; not observed counterfactual travel,0.644809,0.059665,3.668605,0.16196642999581515,1.4696752521629173,1.180073525436772,3.9987316389308805,0.029333850603497944,0.07989521969412319,1.4785419597444338,0.9159731673200949
radish_mexico,21003,C,Selective,EXPERIMENTAL_FAILURE,results/phase4c/formal/radish_mexico/seed_21003/C_selective/attempt_01,11,0,0,,0,15,0,0,1617.1905027563184,5342.200000000001,5342.835774298001,1.0001190098270376,0,0,0,0,0,0,geometric lower bound; not observed counterfactual travel,1.117157,0.041412,3.379305,0.15846220123881805,1.5717274431747037,1.1650445487931647,4.637003971085221,0.030914373293238682,0.07162134754031935,1.4282613534243238,0.9376406676697218
radish_mexico,21004,A,Original,EXPERIMENTAL_FAILURE,results/phase4c/formal/radish_mexico/seed_21004/A_original/attempt_01,11,0,0,,0,12,0,0,1606.4583374072895,4156.3,4156.7541849730005,1.000109276272887,0,0,0,0,0,0,geometric lower bound; not observed counterfactual travel,0.065942,0.04246,2.357234,0.15491153201606353,1.600908984669879,1.2326488456231224,4.600101399582938,0.030107458141305422,0.06034426575427314,1.4632063583972772,0.922834003588715
radish_mexico,21004,B,Always-Trace,EXPERIMENTAL_FAILURE,results/phase4c/formal/radish_mexico/seed_21004/B_always_trace/attempt_02,11,0,0,,0,9,0,0,1842.8975181357664,3728.1,18002.547826227,4.828880079994367,0,0,0,0,0,0,geometric lower bound; not observed counterfactual travel,0.044031,0.025144,0.121477,0.15242712958139648,1.6212797898563671,1.2403882032022078,4.642334387576885,0.027559615233858956,0.05755932470381411,1.455878953159177,0.9115938217783811
radish_mexico,21004,C,Selective,EXPERIMENTAL_FAILURE,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01,11,0,0,,0,17,0,0,2592.298460116059,6035.400000000001,6035.897874926999,1.0000824924490503,0,0,0,0,0,0,geometric lower bound; not observed counterfactual travel,8.474425,0.133382,12.071675,0.14815566234274338,1.5351954102614562,1.1301494980224,4.554482802137621,0.023282584422473787,0.06444135322328332,1.6935635604823223,0.9500723848532832
radish_mexico,21005,A,Original,EXPERIMENTAL_FAILURE,results/phase4c/formal/radish_mexico/seed_21005/A_original/attempt_01,11,0,0,,0,14,0,0,2059.080286495825,4343.3,4344.192321412003,1.0002054477959164,0,0,0,0,0,0,geometric lower bound; not observed counterfactual travel,0.173422,0.09203,2.965723,0.16229767319662755,1.4674006889181603,1.1779628604101349,3.8811899611735825,0.03103720724573599,0.0682670398724671,1.4262739308997905,0.9308924630029147
radish_mexico,21005,B,Always-Trace,EXPERIMENTAL_FAILURE,results/phase4c/formal/radish_mexico/seed_21005/B_always_trace/attempt_01,11,0,0,,0,14,0,0,1391.3899800187555,4258.8,14427.037677501998,3.3875828114731843,0,0,0,0,0,0,geometric lower bound; not observed counterfactual travel,0.06632,0.020303,0.579091,0.1543601235839054,1.599953907243734,1.2040063920164363,4.568954762271341,0.029335659252798373,0.06290170569251594,1.4275147710791087,0.9185033763081525
radish_mexico,21005,C,Selective,EXPERIMENTAL_FAILURE,results/phase4c/formal/radish_mexico/seed_21005/C_selective/attempt_01,11,0,0,,0,5,0,0,1399.680407820261,3240.9,3241.648845923002,1.000231061101238,0,0,0,0,0,0,geometric lower bound; not observed counterfactual travel,0.175283,0.030314,2.45312,0.1562378110725637,1.5815717087466024,1.1802343178074637,4.514349064847483,0.03010023751523416,0.06608372929893984,1.4218347908105746,0.9220810744444198
